size,parse,unravel,implode
21,0,2,3
692,2,42,105
692,2,46,63
976,2,62,113
18,0,2,3
547,1,38,58
989,3,61,140
665,2,42,92
24,1,2,4
2490,5,148,293
1540,3,96,209
1021,3,63,149
853,3,50,131
1053,2,66,134
25,0,1,4
800,2,47,93
25,0,2,4
786,2,52,104
707,2,43,78
593,2,35,78
616,1,34,67
950,3,58,147
998,2,60,146
1011,2,58,147
563,2,34,87
24,0,2,4
24,0,1,4
920,2,54,116
60,0,3,4
23,0,2,4
26,0,2,4
832,2,61,115
422,1,28,50
488,2,30,69
1017,3,62,126
283,1,17,42
947,2,59,114
1152,3,67,135
1237,3,77,164
504,1,32,74
362,1,24,58
747,2,48,110
22,1,2,5
864,2,53,122
689,1,43,91
704,2,44,89
27,0,2,4
1299,3,73,168
18,1,1,4
669,2,40,95
1364,3,87,165
526,2,33,68
282,1,23,39
23,1,2,3
175,0,15,21
1061,3,63,153
1122,3,65,156
1906,5,110,269
1415,4,83,200
1454,3,80,197
693,2,42,107
368,1,22,64
19,1,2,3
844,2,55,106
26,1,2,3
985,2,61,137
1444,4,84,193
1162,2,68,155
313,2,21,53
466,1,31,53
1649,3,97,209
175,1,8,10
681,2,44,98
1212,3,78,142
235,1,14,27
2135,4,123,232
1004,3,59,136
74,0,4,6
1871,5,119,236
1068,3,68,134
292,1,21,28
519,2,34,78
219,2,21,34
775,2,49,101
585,1,35,75
21,0,3,4
728,1,47,81
22,1,2,3
878,2,50,138
819,2,50,117
722,2,45,87
321,1,22,43
143,1,12,21
19,0,3,3
1160,3,81,165
24,0,3,4
233,1,16,34
