size,parse,unravel
3704,9,210
3535,12,188
2869,6,166
3398,9,183
378,1,25
3567,10,193
147,0,8
1495,3,83
87,0,5
1624,4,94
2356,7,123
1417,3,79
4280,11,224
1272,3,77
77,0,6
543,2,36
5033,14,254
2585,8,142
3056,8,164
71,0,4
2061,9,117
616,2,39
1620,6,94
1987,5,104
1121,4,62
818,3,47
1707,5,93
3436,8,195
2295,8,111
1392,3,76
3699,9,201
2382,6,128
2058,7,112
81,0,3
1467,4,84
2984,7,169
2169,6,119
3078,9,163
751,2,41
205,1,14
1529,4,89
1540,4,93
1753,5,93
694,3,41
526,3,31
2607,8,128
2086,5,120
806,2,44
1023,3,59
402,1,26
2466,9,121
993,3,54
926,3,48
702,3,44
838,2,46
2360,6,126
1519,5,77
2331,6,153
780,3,41
4443,11,245
269,1,17
806,3,45
2791,8,149
990,7,57
987,3,55
3094,8,169
5078,15,271
1658,5,87
2455,7,129
537,3,31
660,3,36
3005,10,154
1336,4,72
2433,5,126
1274,5,77
4551,13,235
64,1,5
1150,4,62
3073,7,170
1875,4,107
1065,3,63
1206,4,67
1357,4,72
2506,6,136
844,3,49
1947,6,105
1286,3,67
3888,10,196
3445,9,182
1792,6,94
1357,5,72
3371,9,184
1514,4,76
1978,6,102
1107,2,88
3229,7,189
2550,7,144
1872,4,105
3719,9,196
1843,4,111
3447,8,197
1906,5,104
1497,4,87
1359,6,72
57,0,4
273,1,17
373,1,23
1130,3,67
880,3,54
1665,7,100
1625,6,84
1726,4,83
3686,10,196
70,0,6
1799,7,99
1566,4,84
2103,6,118
483,2,28
1103,4,65
18,1,1
522,2,35
659,2,39
1351,3,70
682,3,41
1583,5,86
1624,5,90
2317,5,128
2420,6,131
325,1,20
2842,6,156
20,0,3
1458,5,79
636,2,38
2946,9,155
404,2,25
1436,8,73
2274,7,115
3226,12,177
2063,8,111
520,1,33
5069,11,278
1628,5,91
1248,4,71
3532,10,190
2163,6,120
1231,2,69
737,2,43
2882,8,155
1115,3,62
483,1,28
414,2,21
978,3,58
1522,5,83
2908,8,160
2664,7,141
2183,12,132
2174,5,114
694,2,46
1742,6,100
619,1,35
682,2,37
939,3,54
1512,4,92
1774,4,106
2528,7,132
861,2,45
2304,8,127
1536,3,91
2142,6,113
2048,6,109
998,2,65
1249,3,71
3611,8,193
3049,7,175
2325,8,124
1488,3,77
53,1,4
3695,9,201
1926,7,96
1780,4,95
2266,6,117
1141,4,65
2388,7,129
3323,9,164
3313,8,184
485,1,30
878,4,49
298,1,19
3506,9,192
376,2,23
1335,3,88
1640,4,81
2103,6,127
1268,5,71
547,2,31
2095,7,113
339,1,24
3696,11,197
2661,6,147
1500,3,82
2785,10,177
2252,6,120
3584,10,190
1913,6,102
1695,5,79
913,4,55
3200,10,170
744,3,40
2073,7,114
2037,5,116
4607,12,256
539,2,30
1575,4,85
1817,5,100
926,2,58
2803,7,162
2177,7,114
3605,9,172
684,4,41
1959,6,104
1619,5,90
3058,7,177
555,3,33
1244,3,72
1777,5,99
2593,8,137
2728,7,148
2590,9,133
2598,6,141
468,2,30
567,2,34
947,2,55
4244,11,232
254,1,17
209,1,14
1883,5,111
1899,6,102
1158,3,62
2298,8,121
969,2,58
2591,6,138
706,3,39
1931,7,104
3904,10,207
673,2,45
1243,4,70
2699,7,143
1850,7,100
1168,3,65
874,4,54
477,1,28
4999,12,267
1462,3,83
593,3,41
3717,11,192
1285,3,68
2120,6,118
1020,3,58
2469,7,132
2449,7,129
2113,6,113
429,1,26
2147,8,111
4043,10,217
2916,9,150
453,1,27
1492,4,85
1221,3,67
425,1,22
1511,3,109
524,2,30
80,0,4
3005,7,166
19,0,4
432,1,27
4393,12,237
766,2,43
2565,9,141
3128,9,167
3167,10,172
159,1,10
1494,5,83
895,4,51
1228,5,68
414,1,24
2685,6,149
1011,3,54
929,4,52
1107,5,62
741,2,42
1940,6,106
3507,11,185
1658,8,92
1646,6,91
2769,9,153
111,0,7
1249,4,72
1093,4,62
680,2,44
3581,11,191
27,0,3
477,3,32
832,4,48
3342,9,173
3674,13,186
2534,6,138
53,0,5
754,3,46
4315,12,219
381,2,24
597,1,32
2412,8,133
123,1,5
1054,3,66
889,4,50
3554,9,182
1806,8,97
1589,5,86
3552,9,191
1230,4,70
1682,5,83
4013,10,232
3901,12,194
1874,6,96
902,3,56
1847,6,100
608,1,37
819,3,47
26,0,4
1794,6,97
1047,2,60
2314,7,122
3151,9,161
4003,9,211
3386,9,176
494,2,31
763,2,45
2695,8,150
390,2,25
154,1,12
2423,7,132
2042,6,110
1224,3,63
4114,10,236
607,2,38
4810,14,267
3047,8,164
1262,5,74
2147,5,120
2792,8,149
3299,9,178
2116,7,126
761,2,50
673,2,36
2299,6,128
2359,6,137
996,3,53
701,2,41
559,2,33
494,1,31
464,2,31
676,3,38
1810,4,90
1088,3,63
1417,5,76
2282,8,129
2449,6,135
1077,3,61
610,2,43
569,2,36
1754,8,101
1018,5,51
1349,4,75
1136,2,64
2648,7,139
1159,5,66
1674,5,94
1244,3,63
2054,4,113
1141,3,68
1808,4,111
1875,6,93
95,1,5
2025,6,109
865,2,46
3233,8,175
1955,6,95
1408,4,82
2252,6,128
1933,4,109
