size,parse,unravel
1069,3,78
380,2,28
1062,4,79
27,0,2
503,2,33
941,3,90
284,1,29
810,2,54
66,1,5
1599,5,98
1290,4,97
19,2,4
577,2,58
695,2,58
1147,4,89
643,3,58
1809,5,119
463,2,33
220,1,25
926,3,66
606,1,39
239,1,19
663,2,43
494,2,36
860,3,76
124,1,17
1632,4,93
25,0,4
451,7,162
61,1,4
378,2,39
871,2,59
489,2,50
60,0,3
366,1,29
979,3,60
867,3,63
1999,8,169
511,2,36
953,3,62
135,1,19
719,2,50
830,2,52
362,2,30
668,2,46
226,2,20
505,1,35
21,1,3
1188,3,77
368,3,56
61,1,5
23,1,2
496,1,36
622,3,45
286,1,35
31,1,4
161,1,16
24,1,2
643,3,43
930,2,66
66,0,4
503,3,83
1115,4,95
1257,4,80
19,0,3
474,2,35
21,0,3
66,0,5
686,4,58
53,1,5
1498,4,101
25,1,2
1066,3,70
731,2,48
224,1,18
22,1,2
385,1,25
724,2,47
55,1,8
20,0,2
